
		//
		// Overwatch localized names
		//
		"CSGO_Overwatch_TheSuspect"			"The Suspect"
	"op07_subtitle_805"							"<b>Alex Kincaide:</b>  Franz and Valeria would argue all the time; but one thing they both agreed on was that the Empire Taxi Company had to go - I don't know what a bunch of New York cabbies did to piss off The Phoenix, but they're going to hit there next."
	"op07_subtitle_806"							"<b>Alex Kincaide:</b>  In one of our interviews, Valeria told me The Phoenix weren't finished destroying Lord William's legacy - they're looking to attack all of his estates."
	"op07_subtitle_807"							"<b>Alex Kincaide:</b>  Kriegeld is wielding The Phoenix like a sword, using them to target industries that he's competing with."
	"op07_subtitle_808"							"<b>Kotaro Izaki:</b>  Great job extracting Kincaide, Carmen couldn't have done it better.\n\n<b>Carmen Cocinero:</b>  Now that he's safe: let's focus on Kriegeld.\n\n<b>Kotaro Izaki:</b>  We'll get to that… I had something else in mind."			
	"op07_subtitle_809"							"<b>Booth:</b>  Now I may be mistaken, but you strike me as an enterprising individual with an eye for opportunity... The name's Booth, and I think we can help each other out.  You need guns for your war, and I need money for single malt scotch.  If you showcase some of my weapons on the battlefield I'll make sure something nice falls off the truck for you."
	"op07_subtitle_810"							"<b>Booth:</b>  Conflict has been around ever since the first caveman learned how to pick up a rock... it's human nature that drives us to war.  And seeing as you can't fight human nature it seems like I might as well make a little money out of it, right?  <i>Right</i>."
	"op07_subtitle_811"							"<b>Kotaro Izaki:</b>  My source just informed me of another Operation being spearheaded by some of Valeria's hired thugs.  Let's move."
	"op07_subtitle_812"							"<b>Carmen Cocinero:</b>  Kotaro, Felix wants to talk to us…\n\n<b>Kotaro Izaki:</b>  It can wait.  There's still work to do."
	"op07_subtitle_813"							"<b>Booth:</b>  Some bleeding hearts question the ethics of arming two sides of the same conflict but people like you and me understand the way the world works.  There are no <i>good guys</i> and <i>bad guys</i>, everyone is a hero in their own story.  Don't get me wrong, I don't subscribe to that whole load of bollocks that Valeria Jenner is peddling; but at the end of the day it's a bit like having a great aunt that pinches your cheeks every time you see her.  Does she annoy the piss out of you?  Yes.  Do you turn down her birthday present?  Fuck no."
	"op07_subtitle_814"							"<b>Felix Riley:</b>  Kotaro, I need your people stateside: we have an opportunity to catch Kriegeld red handed.\n\n<b>Kotaro Izaki:</b>  But sir, we're just starting to see results here in Europe, I need more ti-\n\n<b>Felix Riley:</b> After you finish this op you're going back to the States…that's an order Kotaro.\n\n<b>Kotaro Izaki:</b> Yes sir."
	"op07_subtitle_815"							"<b>Booth:</b>  If you're feeling any pangs of guilt about working with me I wouldn't worry too much about it.  People in our lines of work don't tend to live long, so I say just enjoy the ride as long as you can."
	"op07_subtitle_816"							"<b>Felix Riley:</b>  We just got the full debrief from Kincaide.  Franz Kriegeld is using his business as a front to help finance the Phoenix... but if we're going to start freezing his assets we're going to need proof.  I don't like sending you back into the lion's den, but this is our chance to deal some lasting damage to The Phoenix."	
	"op07_subtitle_817"							"<b>Carmen Cocinero:</b>  Kotaro, what are you doing?\n\n<b>Kotaro Izaki:</b>  Following the money.\n\n<b>Carmen Cocinero:</b>  We're not authorized to-\n\n<b>Kotaro Izaki:</b>  You of all people don't get to lecture me on procedure.  Valeria has been using Elliot Kingsman's goons to bolster her numbers and now we have proof.  I'm going after Kingsman… are you with me or not?\n\n<b>Carmen Cocinero:</b>  *sigh* I'm with you."			
	"op07_subtitle_818"							"<b>Carmen Cocinero:</b>  I still think this is a terrible idea.\n\n<b>Kotaro Izaki:</b>  It's for posterity.\n\n<b>Carmen Cocinero:</b>  It's for our court martial. \n\n<b>Kotaro Izaki:</b>  Just say your damn name.\n\n<b>Carmen Cocinero:</b>  *sigh* I'm Carmen Cocinero\n\n<b>Kotaro Izaki:</b>  and I'm Kotaro Izaki.  In the event that we fail, this recording is proof that we are operating as individuals, not as sanctioned members of the Coalition Taskforce.\n\n<b>Carmen Cocinero:</b>  But we wouldn't mind a pardon…\n\n<b>Kotaro Izaki:</b>  Carmen...\n\n<b>Carmen Cocinero:</b>  <i>I</i> wouldn't mind a pardon."
	"op07_subtitle_819"							"<b>Felix Riley:</b>  Carmen and Kotaro may be AWOL, but our focus can't change: we need to stop The Phoenix."
	"op07_subtitle_820"							"<b>Felix Riley:</b>  The financials you stole from Kriegeld aren't just going to help us freeze his assets… they're a road map for future Phoenix Operations."
	"op07_subtitle_821"							"<b>Kotaro Izaki:</b>  We're getting close to Kingsman: I can feel it.\n\n<b>Carmen Cocinero:</b>  Kotaro:  they're baiting us… Kingsman didn't show at the last two jobs… it's a trap.\n\n<b>Kotaro Izaki:</b>  Of course it's a trap - but someone has to be there to spring it.\n\n<b>Carmen Cocinero:</b>  This is insane.\n\n<b>Kotaro Izaki:</b>  You're free to go whenever you want Carmen.\n\n<b>Carmen Cocinero:</b>  No… we're in this together."	
	"op07_subtitle_822"							"<b>Felix Riley:</b>  We just received word that Valeria is en route to the cement factory:  Finish up your business in the Maghreb and return to the states: this could be our best chance to take her out."
	"op07_subtitle_823"							"<b>Booth:</b>  Hello again, it's your old friend Booth.  Now obviously as a businessman I make it a point not to choose sides, and as such I would never reveal critical information to either the Coalition Taskforce or The Phoenix.  My daughter however, does not seem to share my love of discretion and is now marked for death by Valeria.  Again, it would be inappropriate of me to interfere or ask for any favors; however, I imagine if you helped extract Imogen from the Phoenix base she is now hiding in, she would be quite grateful for your assistance."
	"op07_subtitle_824"							"<b>Imogen:</b>  Thank you for saving me… I owe you, and I always repay my debts.  Now, a little birdie told me Valeria survived our fireworks show, but her blood is in the water and sharks are circling.  Different cells are stepping up activity to prove that they are strong enough to lead The Phoenix.  You push back these splinter groups, and The Phoenix will remain leaderless until Valeria recovers."
	"op07_subtitle_825"							"<b>Imogen:</b>  Franz Kriegeld was Valeria's heir apparent - it's his money that helped finance the operation and he felt he should be in charge… however now that his assets are being frozen he's looking to prove he has other skills that are useful to The Phoenix."
	"op07_subtitle_826"							"<b>Imogen:</b>  While Valeria recovers, it falls on Naomi to maintain the status quo and show that the powerbase of The Phoenix has not eroded.  She's a zealot who truly believes in her cause."
	"op07_subtitle_827"							"<b>Imogen:</b>  Since Turner's death, Valeria had sought to find his replacement… she found him in Mikha Biton: a mossad operative who has crossed over to The Phoenix.  He's still a relative unknown, but there's few things more dangerous than someone looking to prove themselves."

	"op07_comic_part_0_desc"					"Valeria awakens to discover that everything may not be going according to plan."
	"op07_comic_part_1_desc"					"Franz confronts Valeria with a new problem facing the Phoenix: betrayal."
	"op07_comic_part_2_desc"					"We meet Imogen; an arms dealer who has been marked for death by Valeria."
	"op07_comic_part_3_desc"					"Felix sends a pair of operators to follow up on the success of the Gemini Campaign."

// Mission Names

	"Op_bloodhound_501"							"The Hunt Begins"
	"Op_bloodhound_502"							"Training Day"
	"Op_bloodhound_503"							"Team Player"	
	"Op_bloodhound_504"							"A Lesson In Restraint"
	"Op_bloodhound_505"							"Versatility Is The Key"
	"Op_bloodhound_506"							"The Prodigal Son"
	"Op_bloodhound_507"							"Tools Of The Trade"
	"Op_bloodhound_508"							"No Scope, No Problem"
	"Op_bloodhound_509"							"Finders Keepers"
	"Op_bloodhound_510"							"The Berenger Technique"
	"Op_bloodhound_511"							"Graduation Day"
	"Op_bloodhound_512"							"War Games"
	"Op_bloodhound_513"							"Turn, Turn, Turn"
	"Op_bloodhound_514"							"Honoring Lord William"
	"Op_bloodhound_515"							"Punching Tickets"
	"Op_bloodhound_516"							"Sand Storm"
	"Op_bloodhound_517"							"Guardian Angel"
	"Op_bloodhound_518"							"Shooting Safari"
	"Op_bloodhound_519"							"Scene Of The Crime"
	"Op_bloodhound_520"							"Tag Team, Back Again"
	"Op_bloodhound_521"							"Practice Makes Perfect"
	"Op_bloodhound_522"							"Nuclear Options"
	"Op_bloodhound_523"							"Ripples Across The Pond"
	"Op_bloodhound_524"							"Things To Come"
	"Op_bloodhound_525"							"Hunts End"
	"Op_bloodhound_526"							"The Buddy System"
	"Op_bloodhound_527"							"From Their Cold Dead Hands"
	"Op_bloodhound_528"							"Once I Was Afraid"
	"Op_bloodhound_529"							"An Independent Contractor"
	"Op_bloodhound_530"							"Fowl Play"
	"Op_bloodhound_531"							"A Most Violent Job Interview"

	"Op_bloodhound_Valeria_Two_Sides"					"Two Sides To Every Story"
	"Op_bloodhound_Valeria_spark"						"The Spark Of Revolution"
	"Op_bloodhound_Valeria_Flames"						"Flames Of The Phoenix"
	"Op_bloodhound_Valeria_tyrants"						"Calling Shotgun"
	"Op_bloodhound_Valeria_booth"						"The Curious Case Of Booth"
	"Op_bloodhound_Valeria_meet_mentor"					"Captive Audience"
	"Op_bloodhound_Valeria_dead_turner"					"The Best Defense"
	"Op_bloodhound_Valeria_loyalty"						"Planning Ahead"
	"Op_bloodhound_Valeria_resources"					"Demolition Derby"
	"Op_bloodhound_Valeria_conflict"					"The Price Of Conviction"
	"Op_bloodhound_Valeria_role_turner"					"A New Legacy"
	"Op_bloodhound_Valeria_message"						"Don't Kill The Messenger"
	"Op_bloodhound_Valeria_pollock_turner"					"The Art Of The Headshot"
	"Op_bloodhound_Valeria_blunt_turner"					"A Time To Reap"
	"Op_bloodhound_Valeria_smg"						"Forward Assault"
	"Op_bloodhound_Valeria_knife"						"Up Close And Personal"
	"Op_bloodhound_Valeria_open_house"					"The Open House"
	"Op_bloodhound_Valeria_rebirth"						"The Will To Fight"
	"Op_bloodhound_Valeria_underhill_turner"				"Underhill and Murphy"
	"Op_bloodhound_Valeria_maghreb_turner"					"Ghost Of Vanguard's Past"
	"Op_bloodhound_Valeria_bank_turner"					"Routing Number"
	"Op_bloodhound_Valeria_fruitless_turner"				"Wildfire"
	"Op_bloodhound_Valeria_fear_turner"					"A Minute To Midnight"
	"Op_bloodhound_Valeria_elysee_turner"					"Last Holiday"
	"Op_bloodhound_Valeria_history_turner"					"A Time To Sow"
	"Op_bloodhound_Valeria_cobble_turner"					"Turner Vs William"
	"Op_bloodhound_Valeria_journalist_turner"				"Valeria's Secret Weapon"
	"op_bloodhound_booth_Spend"						"Spend Money To Make Money"
	"op_bloodhound_booth_flash"						"In The Pan"
	"op_bloodhound_booth_bomb"						"Scarecrows"

	"op07_quest_name_701"							"Fanning The Flames"
	"op07_quest_name_702"							"Cruise Control"
	"op07_quest_name_703"							"Stern Words"
	"op07_quest_name_704"							"Operation: Falling Sky"	
	"op07_quest_name_705"							"Turkish Delight"
	"op07_quest_name_706"							"Quart Bag Not Included"
	"op07_quest_name_707"							"R&R"
	"op07_quest_name_708"							"King Of The Jungle"			
	"op07_quest_name_709"							"Tourist Trap"
	"op07_quest_name_710"							"Taxi Cab Confessions"
	"op07_quest_name_711"							"Blue Domes, Red Streets"
	"op07_quest_name_712"							"Scouting Party"	
	"op07_quest_name_713"							"Basic Economics"
	"op07_quest_name_714"							"Mayhem In The Mediterranean"
	"op07_quest_name_715"							"Sniper Superiority"
	"op07_quest_name_716"							"Come For The Wooden Shoes, Stay For The Firefight"	
	"op07_quest_name_717"							"Never Withdraw"			
	"op07_quest_name_718"							"Weekend Retreat"
	"op07_quest_name_719"							"Find The Red Wire"
	"op07_quest_name_720"							"Blinded By The Light"
	"op07_quest_name_721"							"Up Close And Personal"	
	"op07_quest_name_722"							"Precision Instruments"
	"op07_quest_name_723"							"Sharing Is Caring"
	"op07_quest_name_724"							"Hurt Locker"
	"op07_quest_name_725"							"Who Likes Fire?"
	"op07_quest_name_726"							"They Don't Need It Anymore"
	"op07_quest_name_727"							"Gunslinger"
	"op07_quest_name_728"							"Helmets Won't Save Them"	
	"op07_quest_name_729"							"YOINK!"
	"op07_quest_name_730"							"Wild West Show"
	"op07_quest_name_731"							"Gone Streaking"

	"op07_quest_name_801"							"The Elite Of The Elite"
	"op07_quest_name_802"							"Teamwork Makes The Dream Work"
	"op07_quest_name_803"							"Final Exam"
	"op07_quest_name_804"							"The Extraction"	
	"op07_quest_name_805"							"Empire State Of Mind"
	"op07_quest_name_806"							"Salting The Earth"
	"op07_quest_name_807"							"Hostile Takeover"
	"op07_quest_name_808"							"One Track Mind"			
	"op07_quest_name_809"							"Quid Pro Quo"
	"op07_quest_name_810"							"Just Reporting The Weather"
	"op07_quest_name_811"							"Professional Courtesy"
	"op07_quest_name_812"							"Stay The Course"	
	"op07_quest_name_813"							"Perspective"
	"op07_quest_name_814"							"Benched"
	"op07_quest_name_815"							"Enjoy The Ride"
	"op07_quest_name_816"							"Once More Into The Breach"	
	"op07_quest_name_817"							"Taking A Personal Day"			
	"op07_quest_name_818"							"Of Pardons And Deniability"
	"op07_quest_name_819"							"Eyes On The Prize"
	"op07_quest_name_820"							"Fruits Of Your Labor"
	"op07_quest_name_821"							"A Man Possessed"	
	"op07_quest_name_822"							"Loose Ends"
	"op07_quest_name_823"							"The Enemy Of My Enemy..."
	"op07_quest_name_824"							"Blood In The Water"
	"op07_quest_name_825"							"The Heir Apparent"
	"op07_quest_name_826"							"1 Minute To Midnight"
	"op07_quest_name_827"							"Here Comes A New Challenger"
	"cp8_comicsection_title_0"						"Valeria's Wakeup Call"			
	"cp8_comicsection_title_1"						"Enter Kriegeld"	
	"cp8_comicsection_title_2"						"A Change In Plans"	
	"cp8_comicsection_title_3"						"Aftermath"	

	////////////////////////////////////


	"op_wildfilre_comic_1"							"View the Operation Wildfire comic"
	"op_wildfilre_comic_2"							"Continue the Operation Wildfire comic"

	
///////////////////////////////////////////////////////////////////////////////////////////////////////////////


		"CSGO_Tool_Name_TagTag"						"Tag"
		"CSGO_Tool_Name_Tag"						"Name Tag"
		"CSGO_Tool_Name_Tag_Desc"					"This item will rename a weapon. A custom engraved nameplate will be applied to the weapon and viewable in game."
		"CSGO_Tool_Desc_Tag"						"Description Tag"
		"CSGO_Tool_Desc_Tag_Desc"					"Customizes a weapon with a custom description."
		"CSGO_Tool_WeaponCase_KeyTag"				"Key"
		"CSGO_Tool_WeaponCase_Key"					"CS:GO Case Key"
		"CSGO_Tool_WeaponCase_Key_Desc"				"This key will open any Valve Series Weapon Case. Non-Valve Series cases (e.g. eSports Case) require their own key to open."

		"CSGO_Tool_GiftTag"							"Gift"
		"CSGO_Tool_Gift1Player"						"Gift Package"
		"CSGO_Tool_Gift1Player_desc"				"When used, a random player in your match will get a random item as a gift from you."
		"CSGO_Tool_Gift9Players"					"Pallet of Presents"
		"CSGO_Tool_Gift9Players_desc"				"When used, up to 9 other players in your match will get a random item as a gift from you."
		"CSGO_Tool_Gift25Spectators"				"Audience Participation Parcel"
		"CSGO_Tool_Gift25Spectators_desc"			"When used, up to 25 viewers watching your match will get a random item as a gift from you."

		"CSGO_Tool_Sticker"							"Sticker"
		"CSGO_Tool_Sticker_Desc"					"This sticker can be applied to any weapon you own and can be scraped to look more worn. You can scrape the same sticker multiple times, making it a bit more worn each time, until it is removed from the weapon."

		"CSGO_Tool_Spray"							"Sealed Graffiti"
		"CSGO_Tool_Spray_Desc"					"This is a sealed container of a graffiti pattern. Once this graffiti pattern is unsealed, it will provide you with enough charges to apply the graffiti pattern <b>50</b> times to the in-game world."

		"CSGO_Tool_SprayPaint"						"Graffiti"
		"CSGO_Tool_SprayPaint_Desc"					"This graffiti can be applied to the in-game world. You can apply it until you run out of charges."

		"CSGO_tool_stattrak_swap"					"StatTrak™ Swap Tool"
		"CSGO_tool_stattrak_swap_desc"				"This item swaps StatTrak™ values between two of the same item type."
		
		"CSGO_crate_tool_stattrak_swap"				"StatTrak™ Swap Tool Two-pack"
		"CSGO_desc_crate_tool_stattrak_swap"		"This item contains two StatTrak™ Swap Tools. A StatTrak™ Swap Tool swaps StatTrak™ values between two of the same item type."
		
//////////////////////////////////////////////
//
/// Coupons
//
//////////////////////////////////////////////

		"coupon"									"Offer"
		"coupon_desc"								"You have been selected to receive a limited time offer to purchase this item."
		"coupon_desc_steam"							"This player has been selected to receive a limited time offer to purchase this item."

//////////////////////////////////////////////
//
/// Stickers 
//
//////////////////////////////////////////////

		"StickerKit_Default"						"Sticker Name"
		"StickerKit_Desc_Default"					"Sticker Description"

		"StickerKit_dh_gologo1"						"Shooter"
		"StickerKit_desc_dh_gologo1"				"StickerKit_desc_dh_gologo1"

		"StickerKit_dh_gologo1_holo"				"Shooter (Foil)"
		"StickerKit_desc_dh_gologo1_holo"			"StickerKit_desc_dh_gologo1_holo"

		"StickerKit_dh_gologo2"						"Shooter Close"
		"StickerKit_desc_dh_gologo2"				"StickerKit_desc_dh_gologo2"

		"StickerKit_dh_gologo2_holo"				"Shooter Close (Foil)"
		"StickerKit_desc_dh_gologo2_holo"			"StickerKit_desc_dh_gologo2_holo"

		"StickerKit_dh_snowflake2"					"Blue Snowflake"
		"StickerKit_desc_dh_snowflake2"				"StickerKit_desc_dh_snowflake2"

		"StickerKit_dh_snowflake3"					"Blue Snowflake (Foil)"
		"StickerKit_desc_dh_snowflake3"				"StickerKit_desc_dh_snowflake3"

		"StickerKit_dh_bears"						"Polar Bears"
		"StickerKit_desc_dh_bears"					"StickerKit_desc_dh_bears"

		"StickerKit_dh_bears_holo"					"Polar Bears (Foil)"
		"StickerKit_desc_dh_bears_holo"				"StickerKit_desc_dh_bears_holo"

		"StickerKit_dh_mountain"					"Mountain"
		"StickerKit_desc_dh_mountain"				"StickerKit_desc_dh_mountain"

		"StickerKit_dh_mountain_holo"				"Mountain (Foil)"
		"StickerKit_desc_dh_mountain_holo"			"StickerKit_desc_dh_mountain_holo"

		"StickerKit_dh_snowman"						"Frosty the Hitman"
		"StickerKit_desc_dh_snowman"				"StickerKit_desc_dh_snowman"

		"StickerKit_dh_snowman_holo"				"Frosty the Hitman (Foil)"
		"StickerKit_desc_dh_snowman_holo"			"StickerKit_desc_dh_snowman_holo"

		"StickerKit_std_thirteen"					"Lucky 13"
		"StickerKit_desc_std_thirteen"				""
		
		"StickerKit_std_aces_high"					"Aces High"
		"StickerKit_desc_std_aces_high"				""
		
		"StickerKit_std_aces_high_holo"				"Aces High (Holo)"
		"StickerKit_desc_std_aces_high_holo"		""
		
		"StickerKit_std_conquered"					"I Conquered"
		"StickerKit_desc_std_conquered"				""
		
		"StickerKit_std_destroy"					"Seek & Destroy"
		"StickerKit_desc_std_destroy"				""
		
		"StickerKit_std_dispatch"					"Black Dog"
		"StickerKit_desc_std_dispatch"				""
		
		"StickerKit_std_fearsome"					"Fearsome"
		"StickerKit_desc_std_fearsome"				""
		
		"StickerKit_std_fearsome_holo"				"Fearsome (Holo)"
		"StickerKit_desc_std_fearsome_holo"			""
		
		"StickerKit_std_guarding_hell"				"Cerberus"
		"StickerKit_desc_std_guarding_hell"			""
		
		"StickerKit_std_lemon"						"Easy Peasy"
		"StickerKit_desc_std_lemon"					""
		
		"StickerKit_std_luck"						"Luck Skill"
		"StickerKit_desc_std_luck"					""
		
		"StickerKit_std_vigilance"					"Vigilance"
		"StickerKit_desc_std_vigilance"				""
		
		"StickerKit_std_vigilance_holo"				"Vigilance (Holo)"
		"StickerKit_desc_std_vigilance_holo"		""
		
		"StickerKit_std_thirteen_foil"				"Lucky 13 (Foil)"
		"StickerKit_desc_std_thirteen_foil"			""
		
		"StickerKit_std_luck_foil"					"Luck Skill (Foil)"
		"StickerKit_desc_std_luck_foil"				""
		
		"StickerKit_std2_bish_holo"					"Bish (Holo)"
		"StickerKit_desc_std2_bish_holo"			""
		
		"StickerKit_std2_bash_holo"					"Bash (Holo)"
		"StickerKit_desc_std2_bash_holo"			""
		
		"StickerKit_std2_bosh_holo"					"Bosh (Holo)"
		"StickerKit_desc_std2_bosh_holo"			""
		
		"StickerKit_std2_banana"					"Banana"
		"StickerKit_desc_std2_banana"				""
		
		"StickerKit_std2_bomb_code"					"Bomb Code"
		"StickerKit_desc_std2_bomb_code"			""
		
		"StickerKit_std2_chicken_lover"				"Chicken Lover"
		"StickerKit_desc_std2_chicken_lover"		""
		
		"StickerKit_std_crown_foil"					"Crown (Foil)"
		"StickerKit_desc_std_crown_foil"			""
		
		"StickerKit_std2_goodgame"					"Good Game"
		"StickerKit_desc_std2_goodgame"				""
		
		"StickerKit_std2_goodluck"					"Good Luck"
		"StickerKit_desc_std2_goodluck"				""
		
		"StickerKit_std2_havefun"					"Have Fun"
		"StickerKit_desc_std2_havefun"				""
		
		"StickerKit_std2_lets_roll_oll"				"Let's Roll-oll"
		"StickerKit_desc_std2_lets_roll_oll"		""
		
		"StickerKit_std2_lets_roll_oll_holo"		"Let's Roll-oll (Holo)"
		"StickerKit_desc_std2_lets_roll_oll_holo"	""
		
		"StickerKit_std2_metal"						"Metal"
		"StickerKit_desc_std2_metal"				""
		
		"StickerKit_std2_nice_shot"					"Nice Shot"
		"StickerKit_desc_std2_nice_shot"			""
		
		"StickerKit_std2_stupid_banana_foil"		"Stupid Banana (Foil)"
		"StickerKit_desc_std2_stupid_banana_foil"	""
		
		"StickerKit_std2_welcome_clutch"			"Welcome to the Clutch"
		"StickerKit_desc_std2_welcome_clutch"		""

		"StickerKit_kat2014_3dmax"					"3DMAX | Katowice 2014"
		"StickerKit_desc_kat2014_3dmax"				""

		"StickerKit_kat2014_3dmax_holo"				"3DMAX (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_3dmax_holo"		""
		
		"StickerKit_kat2014_3dmax_foil"				"3DMAX (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_3dmax_foil"		""

		"StickerKit_kat2014_complexity"				"compLexity Gaming | Katowice 2014"
		"StickerKit_desc_kat2014_complexity"		""

		"StickerKit_kat2014_complexity_holo"		"compLexity Gaming (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_complexity_holo"	""
		
		"StickerKit_kat2014_complexity_foil"		"compLexity Gaming (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_complexity_foil"	""

		"StickerKit_kat2014_dignitas"				"Team Dignitas | Katowice 2014"
		"StickerKit_desc_kat2014_dignitas"			""

		"StickerKit_kat2014_dignitas_holo"			"Team Dignitas (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_dignitas_holo"		""
		
		"StickerKit_kat2014_dignitas_foil"			"Team Dignitas (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_dignitas_foil"		""

		"StickerKit_kat2014_fnatic"					"Fnatic | Katowice 2014"
		"StickerKit_desc_kat2014_fnatic"			""

		"StickerKit_kat2014_fnatic_holo"			"Fnatic (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_fnatic_holo"		""
		
		"StickerKit_kat2014_fnatic_foil"			"Fnatic (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_fnatic_foil"		""

		"StickerKit_kat2014_hellraisers"			"HellRaisers | Katowice 2014"
		"StickerKit_desc_kat2014_hellraisers"		""

		"StickerKit_kat2014_hellraisers_holo"		"HellRaisers (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_hellraisers_holo"	""
		
		"StickerKit_kat2014_hellraisers_foil"		"HellRaisers (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_hellraisers_foil"	""

		"StickerKit_kat2014_ibuypower"				"iBUYPOWER | Katowice 2014"
		"StickerKit_desc_kat2014_ibuypower"			""

		"StickerKit_kat2014_ibuypower_holo"			"iBUYPOWER (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_ibuypower_holo"	""
		
		"StickerKit_kat2014_ibuypower_foil"			"iBUYPOWER (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_ibuypower_foil"	""

		"StickerKit_kat2014_ldlc"					"Team LDLC.com | Katowice 2014"
		"StickerKit_desc_kat2014_ldlc"				""

		"StickerKit_kat2014_ldlc_holo"				"Team LDLC.com (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_ldlc_holo"			""
		
		"StickerKit_kat2014_ldlc_foil"				"Team LDLC.com (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_ldlc_foil"			""

		"StickerKit_kat2014_lgb"					"LGB eSports | Katowice 2014"
		"StickerKit_desc_kat2014_lgb"				""

		"StickerKit_kat2014_lgb_holo"				"LGB eSports (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_lgb_holo"			""
		
		"StickerKit_kat2014_lgb_foil"				"LGB eSports (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_lgb_foil"			""

		"StickerKit_kat2014_mousesports"			"mousesports | Katowice 2014"
		"StickerKit_desc_kat2014_mousesports"		""

		"StickerKit_kat2014_mousesports_holo"		"mousesports (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_mousesports_holo"	""
		
		"StickerKit_kat2014_mousesports_foil"		"mousesports (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_mousesports_foil"	""

		"StickerKit_kat2014_mystik"					"Clan-Mystik | Katowice 2014"
		"StickerKit_desc_kat2014_mystik"			""

		"StickerKit_kat2014_mystik_holo"			"Clan-Mystik (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_mystik_holo"		""
		
		"StickerKit_kat2014_mystik_foil"			"Clan-Mystik (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_mystik_foil"		""

		"StickerKit_kat2014_navi"					"Natus Vincere | Katowice 2014"
		"StickerKit_desc_kat2014_navi"				""

		"StickerKit_kat2014_navi_holo"				"Natus Vincere (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_navi_holo"			""
		
		"StickerKit_kat2014_navi_foil"				"Natus Vincere (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_navi_foil"			""

		"StickerKit_kat2014_ninjasinpyjamas"		"Ninjas in Pyjamas | Katowice 2014"
		"StickerKit_desc_kat2014_ninjasinpyjamas"	""

		"StickerKit_kat2014_ninjasinpyjamas_holo"		"Ninjas in Pyjamas (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_ninjasinpyjamas_holo"	""
		
		"StickerKit_kat2014_ninjasinpyjamas_foil"		"Ninjas in Pyjamas (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_ninjasinpyjamas_foil"	""

		"StickerKit_kat2014_reason"					"Reason Gaming | Katowice 2014"
		"StickerKit_desc_kat2014_reason"			""

		"StickerKit_kat2014_reason_holo"			"Reason Gaming (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_reason_holo"		""
		
		"StickerKit_kat2014_reason_foil"			"Reason Gaming (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_reason_foil"		""

		"StickerKit_kat2014_titan"					"Titan | Katowice 2014"
		"StickerKit_desc_kat2014_titan"				""

		"StickerKit_kat2014_titan_holo"				"Titan (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_titan_holo"		""
		
		"StickerKit_kat2014_titan_foil"				"Titan (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_titan_foil"		""

		"StickerKit_kat2014_virtuspro"				"Virtus.Pro | Katowice 2014"
		"StickerKit_desc_kat2014_virtuspro"			""

		"StickerKit_kat2014_virtuspro_holo"			"Virtus.Pro (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_virtuspro_holo"	""
		
		"StickerKit_kat2014_virtuspro_foil"			"Virtus.Pro (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_virtuspro_foil"	""

		"StickerKit_kat2014_voxeminor"				"Vox Eminor | Katowice 2014"
		"StickerKit_desc_kat2014_voxeminor"			""

		"StickerKit_kat2014_voxeminor_holo"			"Vox Eminor (Holo) | Katowice 2014"
		"StickerKit_desc_kat2014_voxeminor_holo"	""
		
		"StickerKit_kat2014_voxeminor_foil"			"Vox Eminor (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_voxeminor_foil"	""
		
		"StickerKit_kat2014_esl1_foil"				"ESL Wolf (Foil) | Katowice 2014"
		"StickerKit_desc_kat2014_esl1_foil"			""
		
		"StickerKit_kat2014_esl2_foil"				"ESL Skull (Foil) | Katowice 2014"
