		"SFUI_MainMenu_News_Title"			"News"
		"SFUI_Date_Format_Month10"			"Oct"
		"SFUI_Date_Format_Month11"			"Nov"
		"SFUI_Date_Format_Month12"			"Dec"

		"SFUI_Date_Format_DayOfWeek0"				"Sun"
		"SFUI_Date_Format_DayOfWeek1"				"Mon"		
		"SFUI_Date_Format_DayOfWeek2"				"Tue"
		"SFUI_Date_Format_DayOfWeek3"				"Wed"
		"SFUI_Date_Format_DayOfWeek4"				"Thu"
		"SFUI_Date_Format_DayOfWeek5"				"Fri"
		"SFUI_Date_Format_DayOfWeek6"				"Sat"		

		"SFUI_Date_Format_DayOfMonth01"				"1st"
		"SFUI_Date_Format_DayOfMonth02"				"2nd"
		"SFUI_Date_Format_DayOfMonth03"				"3rd"
		"SFUI_Date_Format_DayOfMonth04"				"4th"
		"SFUI_Date_Format_DayOfMonth05"				"5th"
		"SFUI_Date_Format_DayOfMonth06"				"6th"
		"SFUI_Date_Format_DayOfMonth07"				"7th"
		"SFUI_Date_Format_DayOfMonth08"				"8th"
		"SFUI_Date_Format_DayOfMonth09"				"9th"
		"SFUI_Date_Format_DayOfMonth10"				"10th"
		"SFUI_Date_Format_DayOfMonth11"				"11th"
		"SFUI_Date_Format_DayOfMonth12"				"12th"
		"SFUI_Date_Format_DayOfMonth13"				"13th"
		"SFUI_Date_Format_DayOfMonth14"				"14th"
		"SFUI_Date_Format_DayOfMonth15"				"15th"
		"SFUI_Date_Format_DayOfMonth16"				"16th"
		"SFUI_Date_Format_DayOfMonth17"				"17th"
		"SFUI_Date_Format_DayOfMonth18"				"18th"
		"SFUI_Date_Format_DayOfMonth19"				"19th"
		"SFUI_Date_Format_DayOfMonth20"				"20th"
		"SFUI_Date_Format_DayOfMonth21"				"21st"
		"SFUI_Date_Format_DayOfMonth22"				"22nd"
		"SFUI_Date_Format_DayOfMonth23"				"23rd"
		"SFUI_Date_Format_DayOfMonth24"				"24th"
		"SFUI_Date_Format_DayOfMonth25"				"25th"
		"SFUI_Date_Format_DayOfMonth26"				"26th"
		"SFUI_Date_Format_DayOfMonth27"				"27th"
		"SFUI_Date_Format_DayOfMonth28"				"28th"
		"SFUI_Date_Format_DayOfMonth29"				"29th"
		"SFUI_Date_Format_DayOfMonth30"				"30th"
		"SFUI_Date_Format_DayOfMonth31"				"31st"

		
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		//How To Play
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

		"SFUI_How_to_Play_Controller_Trigger_R2"		"Fire Weapon" [$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_Trigger_R2"		"Spin 180"	[$PS3]
		"SFUI_How_to_Play_Controller_Bumper_R1"			"Spin 180"	[$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_Bumper_R1"			"Fire Weapon" [$PS3]
		"SFUI_How_to_Play_Controller_Y_Triangle"		"Swap Weapon" [$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_Y_Triangle"		"Use" [$PS3]
		"SFUI_How_to_Play_Controller_B_Circle"			"Reload" [$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_B_Circle"			"Swap Weapon" [$PS3]
		"SFUI_How_to_Play_Controller_A_X"			"Jump" [$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_A_X"			"Reload" [$PS3]
		"SFUI_How_to_Play_Controller_X_Square"			"Use" [$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_X_Square"			"Jump" [$PS3]
		"SFUI_How_to_Play_Controller_RStick_Press"		"Alternate Fire"
		"SFUI_How_to_Play_Controller_RStick"			"Look"
		"SFUI_How_to_Play_Controller_LStick_Press"		""
		"SFUI_How_to_Play_Controller_Dpad_PS3Dn_LStick"	"Drop Weapon"[$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_Dpad_PS3Dn_LStick"	"Move"[$PS3]
		"SFUI_How_to_Play_Controller_LStick_PS3Dpad_Dn"	"Move" [$WIN32||$X360||$OSX]
		"SFUI_How_to_Play_Controller_LStick_PS3Dpad_Dn"	"Drop Weapon" [$PS3]
		"SFUI_How_to_Play_Controller_LBumper_L1"		"Select Item"
		"SFUI_How_to_Play_Controller_LTrigger_L2"		"Crouch"
		"SFUI_How_to_Play_Controller_Select"			"Scoreboard"
		"SFUI_How_to_Play_Controller_Start"				"Pause Menu"

		"SFUI_HOW TO PLAY"								"HOW TO PLAY"
		"SFUI_HOW_TO_PLAY"								"How to Play"
		"SFUI_How_to_Play_Navigation"					"${cancel} Cancel     ${dpad} Navigate     ${rstick} Scroll"
		"SFUI_HowToPlay_IntroductionLabel"				"Introduction"
		"SFUI_HowToPlay_IntroductionContents"			"<font size='24'>THE GAME MODES</font><br/>CS:GO has four basic game modes: Classic Casual, Classic Competitive, Arms Race, and Demolition. <br/><br/><font size='30'>CLASSIC</font><br/>The two Classic modes share the same basic rules. Games are played on either Hostage or Bomb maps.  In both types of maps, a single match is divided into multiple timed rounds.  Your team wins a round by eliminating all members of the opposing team or by completing map objectives. In Hostage maps, Counter-Terrorists try to locate hostages and carry them to an rescue zone.  Terrorists must prevent the hostages from being rescued.  For either team, harming hostages decreases your score and reduces the money available for purchasing weapons and equipment in the next round. In Bomb maps, the Terrorists try to plant and detonate a bomb at one of two bomb sites.  The Counter-Terrorists must prevent the bomb from being planted or defuse it once it is planted at a bomb site. <br/><br/>The two classic modes differ in four major ways. In competitive mode, Friendly Fire is on, Team Collision is on, you must purchase Armor and Defuse kits (you get them automatically in Casual), and matches last thirty rounds rather than ten.<br/><br/><font size='30'>ARMS RACE</font><br/> Arms Race takes place in a single round, and unlike the other three modes, dead players respawn instantly. Upon respawn, you're invulnerable for five seconds or until you attack. Weapons and equipment aren't purchasable in Arms Race. Instead, everyone starts with the same weapon, and you receive a new weapon for every enemy you kill. The final weapon you earn is a golden knife, and the first player to make a kill with the golden knife wins the game. <br/><br/><font size='30'>DEMOLITION</font><br/>Demolition mode is a fast-paced hybrid of the Classic and Arms Race game rules.  It consists of two multi-round matches.  At the end of the first match, the teams switch sides. A team wins a round by either eliminating the enemy team or by detonating or defusing the bomb.  Weapons and equipment are not purchasable. Instead, if you eliminate an enemy, you receive a new weapon at the beginning of the next round. You also earn bonus grenades for each additional kill you make beyond the first in a single round. The team with the most rounds won wins the match."

		"SFUI_HowToPlay_GettingStartedLabel"			"Getting Started"
		"SFUI_HowToPlay_GettingStartedContents"			"<font size='24'>CHOOSING A TEAM</font><br/>You can choose to play on either the Counter-Terrorist or Terrorist team as long as there is room for you to join. Choosing the 'Auto-Select' option assigns you to a team randomly.  Each team has different weapons available to it as well as different objectives. <br/><br/><font size='24'>SCORE</font><br/>You can view your individual score (and those of your teammates and opponents) on the scoreboard by pressing ${togglescores}.  Scoring events:<br/>6 points for defusing a bomb<br/>2 points for killing an enemy<br/>2 points for planting a bomb<br/>2 points for rescuing one hostage<br/>1 point for assisting with a kill<br/>-2 points for killing yourself<br/>-2 points for killing a hostage<br/>-2 points for killing a teammate<br/><br/><font size='24'>MY AWARDS</font><br/>Achievements, stats, awards and leaderboard rankings help you gauge your personal performance.  You must be signed into your Xbox LIVE profile to earn achievements and awards, to save your stats, or to post to the leaderboards.<br/><br/><font size='24'>OFFLINE WITH BOTS</font><br/>Offline mode lets you explore the game at your own pace by competing with computer-controlled opponents. You can adjust the difficulty of Offline mode by setting the skill level of the bot opponents.<br/>"[$X360]

		"SFUI_HowToPlay_GettingStartedContents"			"<font size='24'>CHOOSING A TEAM</font><br/>You can choose to play on either the Counter-Terrorist or Terrorist team as long as there is room for you to join. Choosing the 'Auto-Select' option assigns you to a team randomly.  Each team has different weapons available to it as well as different objectives. <br/><br/><font size='24'>SCORE</font><br/>You can view your individual score (and those of your teammates and opponents) on the scoreboard by pressing ${togglescores}.  Scoring events:<br/>6 points for defusing a bomb<br/>2 points for killing an enemy<br/>2 points for planting a bomb<br/>2 points for rescuing one hostage<br/>1 point for assisting with a kill<br/>-2 points for killing yourself<br/>-2 points for killing a hostage<br/>-2 points for killing a teammate<br/><br/><font size='24'>MY AWARDS</font><br/>Stats, awards and leaderboard rankings help you gauge your personal performance.  You must be signed into your PlayStation®Network profile to earn Trophies and awards, to save your stats, or to post to the leaderboards.<br/><br/><font size='24'>OFFLINE WITH BOTS</font><br/>Offline mode lets you explore the game at your own pace by competing with computer-controlled opponents. You can adjust the difficulty of Offline mode by setting the skill level of the bot opponents.<br/>"[$PS3]

		"SFUI_HowToPlay_GettingStartedContents"			"<font size='24'>CHOOSING A TEAM</font><br/>You can choose to play on either the Counter-Terrorist or Terrorist team as long as there is room for you to join. Choosing the 'Auto-Select' option assigns you to a team randomly.  Each team has different weapons available to it as well as different objectives. <br/><br/><font size='24'>SCORE</font><br/>You can view your individual score (and those of your teammates and opponents) on the scoreboard by pressing ${togglescores}.  Scoring events:<br/>6 points for defusing a bomb<br/>2 points for killing an enemy<br/>2 points for planting a bomb<br/>2 points for rescuing one hostage<br/>1 point for assisting with a kill<br/>-2 points for killing yourself<br/>-2 points for killing a hostage<br/>-2 points for killing a teammate<br/><br/><font size='24'>MY AWARDS</font><br/>Achievements, stats, awards and leaderboard rankings help you gauge your personal performance.  You must be signed into your Steam profile to earn achievements and awards, to save your stats, or to post to the leaderboards.<br/><br/><font size='24'>OFFLINE WITH BOTS</font><br/>Offline mode lets you explore the game at your own pace by competing with computer-controlled opponents. You can adjust the difficulty of Offline mode by setting the skill level of the bot opponents.<br/>"[$WIN32]

		"SFUI_HowToPlay_ClassicLabel"					"Classic Rules"
		"SFUI_HowToPlay_ClassicContents"				"<font size='24'>WINNING</font><br/>A Classic match is made up of timed rounds. There are two ways to win a round: complete your team's map objective or eliminate all enemy players. The first team to win a majority of rounds wins the match.<br/><br/><font size='30'>BUYING GEAR</font><br/>You begin a match with some basic equipment and a set amount of money. Each round within a match starts in a Buy Zone where you have the opportunity to purchase equipment. The amount of time available to make purchases lasts 45 seconds; after that, there's no opportunity to buy equipment until the beginning of the next round.<br/><br/><font size='30'>EARNING MONEY</font><br/>Players earn money by killing enemies, achieving mission objectives, and winning rounds. Shooting teammates and hostages reduces your payout.<br/><br/><font size='30'>DYING AND SPECTATING</font><br/>There is no way to gain additional health. Once your health indicator reaches zero, you're dead until the next round starts. When you die, you lose all of the gear you have purchased. While dead and waiting for the next round to start, you can watch the game from the point of view of other players and take control of any of your team's bots.<br/><br/><font size='30'>RESCUING HOSTAGES</font><br/>If you're a Counter-Terrorist, your goal in Hostage maps is to extract hostages. To do this, move close to each hostage and press ${+use} to make them follow you, then lead them to a rescue zone. Rescue zones are marked with an H on the Mini Map. They're also identified by the hostage rescue zone icon <img src = 'hud_hostage_zone_icon.png' width='24' height='24'/> that appears in the upper left corner of the HUD when you're inside the zone. When all hostages have been escorted to a rescue zone then the Counter-Terrorists win the round. Either team can win by eliminating all members of the opposing team. If all hostages have been killed, the round can only be won through team elimination. Players on either team lose money and score for injuring or killing hostages.<br/><br/><font size='30'>PLANTING AND DEFUSING THE BOMB</font><br/>Bomb maps require the Terrorist team to plant and detonate a bomb. The Counter-Terrorist team must stop them. A randomly chosen Terrorist is assigned to carry the bomb. If you have the bomb, you will see the bomb carrier icon <img src = 'c4_inventory.png' width='24' height='24'/>in your HUD and on the scoreboard next to your name. Deliver it to either of two bomb sites and plant it. Bomb sites are labeled A and B. Signs scattered throughout the map will help you find the sites. A and B markers also appear in the Mini Map Radar. A flashing bomb icon <img src = 'hud_bombzone.png' width='24' height='24'/>appears on the HUD when you're at a bomb site. Press the Use ${+use} button to plant the bomb, and then prevent the Counter-Terrorists from defusing it. Counter-Terrorists win by eliminating all Terrorists or by defusing the bomb. To defuse a bomb, stand near it and hold ${+use} until you see a message saying that the bomb has been defused. If you have a Defuse Kit, you'll see the Defuse Kit icon <img src = 'hud_defuser.png' width='24' height='24'/> in your HUD and in the scoreboard next to your name. The Defuse Kit will speed up the defusing process, but is not required to defuse a bomb.<br/>"

		"SFUI_HowToPlay_PlayOnline"						"Play Options"
		"SFUI_HowToPlay_PlayOnlineContents"				"<font size='24'> QUICKMATCH</font><br/>This lets you get into a game quickly, but you don't get to choose preferences.<br/><br/><font size='24'>FIND A GAME</font><br/>From here you can choose the game type, mode, and map you'd like to play. <br/><br/><font size='24'>LOCAL PLAY</font><br/>You can play all maps and modes against bots by selecting the CREATE A GAME option from the Play Menu.<br/><br/><font size='28'>WEAPONS COURSE</font><br/>The weapons course gives you the basics of using firearms and equipment, and dealing with them when they're used against you.<br/>"

		"SFUI_HowToPlay_Controls"						"Controls"[$X360]
		"SFUI_HowToPlay_Controls"						"Gamepad Controls"[$WIN32||$OSX]
		"SFUI_HowToPlay_Controls"						"wireless controller"[$PS3]
		"SFUI_HowToPlay_ControlsContents"				"DEFAULT CONTROLS<br/><br/><br/><br/><br/>                 <img src = 'CS15_Controller_Flyouts_gamepad.png' width='360' height='200'/>"[$WIN32||$X360]
		"SFUI_HowToPlay_ControlsContents"				"DEFAULT CONTROLS<br/><br/><br/><br/><br/>                 <img src = 'CS15_Controller_Flyouts_ps3_03.png' width='360' height='200'/>"[$PS3]

		"SFUI_HowToPlay_HUD"							"HUD"
		"SFUI_HowToPlay_HUDContents"					"<img src = 'hud_crosshairs.png' width='352' height='220'/><br/><font size='24'>CROSSHAIRS</font><br/>The crosshairs display your accuracy. The smaller the crosshair, the more accurate your shots will be. Firing a gun full auto will make your accuracy worse.  When you stop firing, your accuracy will return to normal.<br/><img src = 'hud_health_armor_flyout.png' width='352' height='220'/><br/><font size='24'>HEALTH AND ARMOR METERS</font><br/>When your health meter reaches 0, you will die.  Once you lose health, it will never increase until you respawn.  Armor reduces the amount of damage you take, but will degrade with each shot. <br/><img src = 'hud_buyzone_money.png' width='352' height='220'/><br/><font size='24'>BUY ZONE ICON</font><br/>The Buy Zone icon appears when you are inside the Buy Zone and there is still time left to purchase equipment.<br/><img src = 'hud_weapon_panel_ammo.png' width='352' height='220'/><br/><font size='24'>WEAPONS AND AMMO</font><br/>Your equipment is displayed in the lower right corner of the screen.  The left side of the ammo display shows how much ammo is in your current magazine, and the right side shows the amount of reserve ammo for the equipped weapon.<br/><img src = 'hud_radar.png' width='352' height='220'/><br/><font size='24'>RADAR</font><br/>The radar in the upper left shows the location of teammates, rescue zones, bomb sites and enemies that are visible to you or one of your teammates.<br/><img src = 'hud_voice_display.png' width='352' height='220'/><br/><font size='24'>COMMUNICATION DISPLAY</font><br/>The Communication Display shows the identity and location of speaking players. Special item alerts will appear here if a bomb or defuse kit is dropped. This area of the HUD also reports thrown grenade alerts and player connection status.<br/><img src = 'hud_bomb_carrier.png' width='352' height='220'/><br/><font size='24'>BOMB CARRIER ICON</font><br/>If you see this, you are carrying the bomb. Find a bomb zone and plant it!<br/><img src = 'hud_defuse_kit.png' width='352' height='220'/><br/><font size='24'> DEFUSE KIT ICON</font><br/>The defuse kit icon indicates that you are carrying the defuse kit.<br/><img src = 'hud_hostage_zone.png' width='352' height='220'/><br/><font size='24'>RESCUE ZONE ICON</font><br/>The rescue zone indicator is present when you are inside a rescue zone.<br/><img src = 'hud_miniscoreboard.png' width='352' height='220'/><br/><font size='24'>MINI SCOREBOARD</font><br/>The Mini Scoreboard gives a quick summary of the players in the game and their status. The scoreboard also displays the amount of time left before the round ends.<br/><img src = 'hud_hostage_status.png' width='352' height='220'/><br/><font size='24'>HOSTAGE ICON</font><br/>The hostage icons show hostage status.  Bright green with a dollar sign indicates a rescued hostage.  The green running figure indicates a hostage in transit.  The green standing figure indicates a hostage waiting to be rescued.  An orange outline indicates a dead hostage.<br/><img src = 'hud_planted_bomb.png' width='352' height='220'/><br/><font size='24'>BOMB PLANTED ICON</font><br/>The Bomb Planted icon appears when the Terrorists have planted the bomb.<br/>"
		"SFUI_HowToPlay_HUDContents2"					" "

		"SFUI_HowToPlay_Tactics"						"Tactics"
		"SFUI_HowToPlay_TacticsContents"				"<font size='24'>ACCURACY</font><br/>Like real weapons, Counter-Strike weapons recoil when they are fired. The longer a fully automatic weapon is fired, the more inaccurate it will become. It will return to its normal accuracy shortly after you stop firing. Moving while firing decreases your accuracy, and jumping reduces the accuracy even more.<br/><br/><font size='24'>WEAPON SWAPPING</font><br/>in the two Classic modes, dead players drop their weapons. To swap your weapon for one on the ground, aim at the dropped weapon and press ${+use}. Alternately, you can drop your current weapon by pressing ${drop} and then simply walk over the desired weapon.<br/><br/><font size='24'>HEADSHOTS</font><br/>Headshots do much more damage than shots to the body. You can often kill an enemy with one well-placed shot to the head.<br/><br/><font size='24'>BEING A TEAM PLAYER</font><br/>Teams that work well together as a unit win more.  When you are playing with other people, use headsets to communicate and coordinate with your team members.  Assign roles and duties.  You can monitor player status on the Scoreboard screen and the in-game mini-scoreboard.  Pay attention to the Notification Area in the upper right corner and the Mini Map in the upper left corner of your screen. The Notification Area will display a dead player's name and who killed them.  The Mini Map will briefly display where a teammate was killed.<br/><br/><font size='24'>LEARN THE MAPS</font><br/>Explore the maps offline against bots.  Get to know each map, and all of its routes and ambush spots. When playing against humans, take advantage of the Spectate mode to observe how other players navigate the maps.<br/><br/><font size='24'>USE YOUR GRENADES</font><br/>All types of grenades are useful.  HE grenades can flush out enemies.  Smoke grenades create cover from sniper fire. Flashbangs temporarily blind and deafen enemies, making it very difficult for them to accurately target you.  Molotov cocktails and Incendiary grenades can create a flaming barrier to entry or exit points.  Decoy grenades produce team specific noise to confuse your opponents, and even affect the enemy's Mini Map display.<br/><br/><font size='24'>KEEP MOVING</font><br/>Constant movement will make you a difficult target.  Movement while in crouch and walking states is useful when attempting to ambush an enemy or assuming a sniper role.<br/><br/><font size='24'>MIX UP YOUR TACTICS</font><br/>Do not go back to the well too often.  If you continue to follow your same course of action because it worked great once, assume that your earlier victims will catch on and be waiting for you to pull the same tactic the next round.<br/><br/><font size='24'>OBJECTIVE UNDER GUARD</font><br/>When defusing or planting the bomb or approaching the hostages, check to make sure an enemy isn't waiting nearby to ambush you.<br/><br/><font size='24'>RELOAD OFTEN</font><br/>Reload often.  If you run out of ammo in the middle of a firefight, switch to your other weapons instead of trying to reload exposed and under fire.<br/><br/><font size='24'>STEALTH</font><br/>Stealth is vitally important in Counter-Strike. When a player runs, their footsteps can be heard. To prevent this, switch to walk mode by pressing ${+speed} when trying to avoid detection. Also be wary of doors and ladders. These will often emit a sound that may give your position away.<br/><br/><font size='30'>STAY ALIVE</font><br/>Running into a firefight guns blazing will generally get you killed. Savvy players will take cover as often as possible, and use their surroundings to their advantage. Work with your teammates to defeat the enemy.<br/>"


		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		//Medals & Stats Screen
		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

		"SFUI_Medals_Title"							"ACHIEVEMENTS"
		"SFUI_Medals_Title"							"AWARDS"				[$X360]
		"SFUI_Medals_Title"							"AWARDS"				[$PS3]
		"SFUI_Stats_Title"							"STATS"
		"SFUI_MedalsStats_OverallT"					"Overall Stats"
		"SFUI_MedalsStats_LastMatchT"				"Last Match Stats"
		"SFUI_MedalsStats_MedalT"					"Achievements"
		"SFUI_MedalsStats_Help"						"${cancel} Back"
		"SFUI_MedalCategory_CatTitle"				"Category"
		"SFUI_MedalCategory_AwardTitle"				"Achievements"
		"SFUI_MedalCategory_StatusBar"				"Achievements Required for Medals"
		"SFUI_MedalELo_Title"						"Your Competitive Skill Group"

		"SFUI_MedalsInfo_Invalid"					"-- Invalid Achievement --"
		"SFUI_MedalsInfo_LockedName"				"Achievement Locked"
		"SFUI_MedalsInfo_LockedDate"				"Locked"
		"SFUI_MedalsInfo_LockedDesc"				"This is a secret award. You must unlock it before you can see it."

		"SFUI_MedalsInfo_Unlocked"					"Completed"
		"SFUI_MedalCategory_Recent"					"Recently Unlocked"
		"SFUI_MedalCategory_No_Medals"				"No Achievements Unlocked"

		"SFUI_MedalCategory_TeamAndObjective"		"Team Tactics"
		"SFUI_MedalCategory_Combat"					"Combat Skills"
		"SFUI_MedalCategory_Weapon"					"Weapon Specialist"
		"SFUI_MedalCategory_Map"					"Global Expertise"
		"SFUI_MedalCategory_GunGame"				"Arms Race & Demolition"

		"SFUI_MedalCategory_TeamAndObjective_HTML"			"<font color='#72b4d0'>Team Tactics</font>"
		"SFUI_MedalCategory_Combat_HTML"					"<font color='#c5945d'>Combat Skills</font>"
		"SFUI_MedalCategory_Weapon_HTML"					"<font color='#d7cc59'>Weapon Specialist</font>"
		"SFUI_MedalCategory_Map_HTML"						"<font color='#97c572'>Global Expertise</font>"
		"SFUI_MedalCategory_GunGame_HTML"					"<font color='#7782d8'>Arms Race & Demolition</font>"

		"SFUI_MedalCategory_TeamAndObjective_CAPHTML"		"<font color='#72b4d0'>TEAM TACTICS</font>"
		"SFUI_MedalCategory_Combat_CAPHTML"					"<font color='#c5945d'>COMBAT SKILLS</font>"
		"SFUI_MedalCategory_Weapon_CAPHTML"					"<font color='#d7cc59'>WEAPON SPECIALIST</font>"
		"SFUI_MedalCategory_Map_CAPHTML"					"<font color='#97c572'>GLOBAL EXPERTISE</font>"
		"SFUI_MedalCategory_GunGame_CAPHTML"				"<font color='#7782d8'>ARMS RACE & DEMOLITION</font>"
		"SFUI_MedalCategory_Season1_CAPHTML"				"<font color='#65de76'>OPERATION BRAVO</font>"
		"SFUI_MedalCategory_Season2_CAPHTML"				"<font color='#65de76'>OPERATION PAYBACK</font>"
		"SFUI_MedalCategory_Season3_CAPHTML"				"<font color='#65de76'>OPERATION PHOENIX</font>"
		"SFUI_MedalCategory_Season4_CAPHTML"				"<font color='#65de76'>OPERATION BREAKOUT</font>"
		"SFUI_MedalCategory_Season5_CAPHTML"				"<font color='#65de76'>OPERATION VANGUARD</font>"

		//// not used
		"SFUI_MedalCategory_DominationAndRevenge"	"Domination & Revenge"
		"SFUI_MedalCategory_Special"				"Special"
		////

		"SFUI_Medal_RankName_0"						"None"
		"SFUI_Medal_RankName_1"						"Bronze"
		"SFUI_Medal_RankName_2"						"Silver"
		"SFUI_Medal_RankName_3"						"Gold"

		"SFUI_ELO_RankName_0"						"Not Ranked"
		"SFUI_ELO_RankName_1"						"Silver I"
		"SFUI_ELO_RankName_2"						"Silver II"
		"SFUI_ELO_RankName_3"						"Silver III"
		"SFUI_ELO_RankName_4"						"Silver IV"
		"SFUI_ELO_RankName_5"						"Silver Elite"
		"SFUI_ELO_RankName_6"						"Silver Elite Master"
		"SFUI_ELO_RankName_7"						"Gold Nova I"
		"SFUI_ELO_RankName_8"						"Gold Nova II"
		"SFUI_ELO_RankName_9"						"Gold Nova III"
		"SFUI_ELO_RankName_10"						"Gold Nova Master"
		"SFUI_ELO_RankName_11"						"Master Guardian I"
		"SFUI_ELO_RankName_12"						"Master Guardian II"
		"SFUI_ELO_RankName_13"						"Master Guardian Elite"
		"SFUI_ELO_RankName_14"						"Distinguished Master Guardian"
		"SFUI_ELO_RankName_15"						"Legendary Eagle"
		"SFUI_ELO_RankName_16"						"Legendary Eagle Master"
		"SFUI_ELO_RankName_17"						"Supreme Master First Class"
		"SFUI_ELO_RankName_18"						"The Global Elite"

		"SFUI_TEAM"									"Team"
		"SFUI_FAVORITEWEAPON"						"Favorite Weapon"
		"SFUI_PERFORMANCE"							"Performance"
		"SFUI_MISCELLANEOUS"						"Miscellaneous"
		"SFUI_FAVORITEMAP"							"Favorite Map"

		"SFUI_LastMatch_TeamDesc"					"Terrorist Wins \nCounter-Terrorist Wins \nYour Team Wins \nMax Players"
		"SFUI_LastMatch_FaveWeapDesc"				"Hits \nKills \nAccuracy"
		"SFUI_LastMatch_PerfDesc"					"Stars \nKills \nDeaths \nKill/Death Ratio\nAvg. Squad Score"
		"SFUI_LastMatch_MiscDesc"					"Damage \nCost/Kill \nDominations \nRevenges"
		"SFUI_LastMatch_NoFaveWeapon"				"No favorite weapon"

		"SFUI_Overall_PlayerStats"					"Rounds Played \nRounds Won \nWin % \nShots Fired \nShots Hit \nHit Ratio \n\nKills \nDeaths \nKill/Death Ratio"
		"SFUI_Overall_WeaponStats"					"Shots \nHits \nKills \nKills/Shot"
		"SFUI_Overall_MapStats"						"%s \nPlayed: %d \nWins: %d \nWin %%: %.3f"
		"SFUI_Overall_MapStats"						"%ls \nPlayed: %d \nWins: %d \nWin %%: %.3f" [$PS3]
		"SFUI_Overall_Stars"						"MVP Stars: %d"
		"SFUI_Overall_NoFavorite"					"No favorite"
		
		"SFUI_XP_RankName_0"						""

		"SFUI_XP_RankName_1"						"Recruit"
		"SFUI_XP_RankName_2"						"Private"
		"SFUI_XP_RankName_3"						"Private"
		"SFUI_XP_RankName_4"						"Private"

		"SFUI_XP_RankName_5"						"Corporal"
		"SFUI_XP_RankName_6"						"Corporal"
		"SFUI_XP_RankName_7"						"Corporal"
		"SFUI_XP_RankName_8" 						"Corporal"

		"SFUI_XP_RankName_9" 						"Sergeant"                     
		"SFUI_XP_RankName_10"						"Sergeant"
		"SFUI_XP_RankName_11"						"Sergeant"
		"SFUI_XP_RankName_12"						"Sergeant"

		"SFUI_XP_RankName_13"						"Master Sergeant"
		"SFUI_XP_RankName_14"						"Master Sergeant"
		"SFUI_XP_RankName_15"						"Master Sergeant"						
		"SFUI_XP_RankName_16"						"Master Sergeant"

		"SFUI_XP_RankName_17"						"Sergeant Major"
		"SFUI_XP_RankName_18"						"Sergeant Major"				 
		"SFUI_XP_RankName_19"						"Sergeant Major"
		"SFUI_XP_RankName_20"						"Sergeant Major"
																	
		"SFUI_XP_RankName_21"						"Lieutenant"				 
		"SFUI_XP_RankName_22"						"Lieutenant"	
		"SFUI_XP_RankName_23"						"Lieutenant"	
		"SFUI_XP_RankName_24"						"Lieutenant"				 
																	
		"SFUI_XP_RankName_25"						"Captain"		
		"SFUI_XP_RankName_26"						"Captain"		
		"SFUI_XP_RankName_27"						"Captain"		
		"SFUI_XP_RankName_28"						"Captain"		
																	
		"SFUI_XP_RankName_29"						"Major"			
		"SFUI_XP_RankName_30"						"Major"			
		"SFUI_XP_RankName_31"						"Major"					
		"SFUI_XP_RankName_32"						"Major"
																	
		"SFUI_XP_RankName_33"						"Colonel"
		"SFUI_XP_RankName_34"						"Colonel"
		"SFUI_XP_RankName_35"						"Colonel"
		"SFUI_XP_RankName_36"						"Brigadier General"
																	
		"SFUI_XP_RankName_37"						"Major General"							
		"SFUI_XP_RankName_38"						"Lieutenant General"					
		"SFUI_XP_RankName_39"						"General"						
		"SFUI_XP_RankName_40"						"Global General"

		"CSGO_Collectible_GlobalGeneral2015"		"2015 Service Medal"
		"CSGO_Collectible_Desc_GlobalGeneral2015"	"Awarded for outstanding service and achievement in 2015."
		
		"CSGO_Collectible_GlobalGeneral2016"		"2016 Service Medal"
		"CSGO_Collectible_Desc_GlobalGeneral2016"	"Awarded for outstanding service and achievement in 2016."

		"CSGO_Collectible_GlobalGeneral2017"		"2017 Service Medal"
		"CSGO_Collectible_Desc_GlobalGeneral2017"	"Awarded for outstanding service and achievement in 2017."

		//for main menu display
		"SFUI_XP_Bonus_1"							"Weekly XP bonus boost available!"
		"SFUI_XP_Bonus_2"							"Get an item drop next time you rank up!"
		"SFUI_XP_Bonus_2_op06"						"Get a <b>%s1</b> item drop next time you rank up!"
		"SFUI_XP_Bonus_2_op07"						"Get a <b>%s1</b> item drop next time you rank up!"
		"SFUI_XP_Bonus_3"							"Reduced 'Earned XP' gain until next week."
		"SFUI_XP_Bonus_4"							"Overwatch Investigator XP reward available!"
		
		//for rank up display
		"SFUI_XP_Bonus_RankUp_Old"							"<b>%s1 </b>Current XP"
		"SFUI_XP_Bonus_RankUp_0"							""
